Timestamp,Relative Time (ms),Inlet Pressure (Bar),Outlet Pressure (Bar)
11:00:00.000,0,61.474,53.951
11:00:00.100,100,61.478,53.985
11:00:00.200,200,61.349,53.791
11:00:00.300,300,61.341,53.772
11:00:00.400,400,61.542,53.898
11:00:00.500,500,61.364,53.788
11:00:00.600,600,61.557,53.764
11:00:00.700,700,61.411,53.931
11:00:00.800,800,61.576,54.016
11:00:00.900,900,61.421,53.761
11:00:01.000,1000,61.372,53.933
11:00:01.100,1100,61.493,54.014
11:00:01.200,1200,61.552,54.005
11:00:01.300,1300,61.385,53.787
11:00:01.400,1400,61.478,53.94
11:00:01.500,1500,61.408,54.028
11:00:01.600,1600,61.327,53.885
11:00:01.700,1700,61.392,53.936
11:00:01.800,1800,61.519,53.859
11:00:01.900,1900,61.503,54.019
11:00:02.000,2000,61.405,53.81
11:00:02.100,2100,61.377,53.847
11:00:02.200,2200,61.374,53.701
11:00:02.300,2300,61.524,53.754
11:00:02.400,2400,61.25,53.924
11:00:02.500,2500,61.346,53.923
11:00:02.600,2600,61.558,53.764
11:00:02.700,2700,61.353,53.979
11:00:02.800,2800,61.308,53.742
11:00:02.900,2900,61.393,53.786
11:00:03.000,3000,61.585,53.853
11:00:03.100,3100,61.31,54.014
11:00:03.200,3200,61.537,53.853
11:00:03.300,3300,61.651,53.963
11:00:03.400,3400,61.562,53.811
11:00:03.500,3500,61.499,54.032
11:00:03.600,3600,61.567,53.857
11:00:03.700,3700,61.39,53.933
11:00:03.800,3800,61.538,53.99
11:00:03.900,3900,61.588,53.98
11:00:04.000,4000,61.524,53.93
11:00:04.100,4100,61.457,53.916
11:00:04.200,4200,61.474,53.89
11:00:04.300,4300,61.26,53.837
11:00:04.400,4400,61.171,53.6
11:00:04.500,4500,61.056,53.658
11:00:04.600,4600,60.959,53.661
11:00:04.700,4700,61.096,53.582
11:00:04.800,4800,61.286,53.358
11:00:04.900,4900,61.267,53.718
11:00:05.000,5000,61.594,53.794
11:00:05.100,5100,61.812,54.04
11:00:05.200,5200,61.812,53.996
11:00:05.300,5300,61.845,53.872
11:00:05.400,5400,61.716,53.987
11:00:05.500,5500,61.63,53.982
11:00:05.600,5600,61.546,54.074
11:00:05.700,5700,61.444,53.691
11:00:05.800,5800,61.432,53.651
11:00:05.900,5900,61.423,53.8
11:00:06.000,6000,61.521,53.812
11:00:06.100,6100,61.503,53.716
11:00:06.200,6200,61.494,53.843
11:00:06.300,6300,61.551,54.089
11:00:06.400,6400,61.527,53.942
11:00:06.500,6500,61.379,53.783
11:00:06.600,6600,61.623,53.674
