Timestamp,Relative Time (ms),Inlet Pressure (Bar),Outlet Pressure (Bar)
11:00:00.000,0,59.969,55.01
11:00:00.100,100,60.057,55.02
11:00:00.200,200,59.994,54.975
11:00:00.300,300,59.977,55.029
11:00:00.400,400,60.063,54.998
11:00:00.500,500,59.999,55.088
11:00:00.600,600,60.038,55.054
11:00:00.700,700,60.049,55.085
11:00:00.800,800,60.074,55.035
11:00:00.900,900,60.051,55.043
11:00:01.000,1000,60.151,55.085
11:00:01.100,1100,60.047,55.063
11:00:01.200,1200,60.077,55.07
11:00:01.300,1300,60.109,55.073
11:00:01.400,1400,60.115,55.093
11:00:01.500,1500,60.079,55.11
11:00:01.600,1600,60.102,55.103
11:00:01.700,1700,60.142,55.126
11:00:01.800,1800,60.174,55.143
11:00:01.900,1900,60.148,55.147
11:00:02.000,2000,60.121,55.133
11:00:02.100,2100,60.165,55.134
11:00:02.200,2200,60.128,55.139
11:00:02.300,2300,60.154,55.195
11:00:02.400,2400,60.144,55.107
11:00:02.500,2500,60.23,55.143
11:00:02.600,2600,60.164,55.171
11:00:02.700,2700,60.208,55.226
11:00:02.800,2800,60.217,55.174
11:00:02.900,2900,60.208,55.186
11:00:03.000,3000,60.188,55.17
11:00:03.100,3100,60.192,55.225
11:00:03.200,3200,60.185,55.15
11:00:03.300,3300,60.179,55.219
11:00:03.400,3400,60.173,55.203
11:00:03.500,3500,60.224,55.209
11:00:03.600,3600,60.194,55.232
11:00:03.700,3700,60.159,55.216
11:00:03.800,3800,60.235,55.182
11:00:03.900,3900,60.197,55.254
11:00:04.000,4000,60.242,55.192
11:00:04.100,4100,60.236,55.226
11:00:04.200,4200,60.166,55.232
11:00:04.300,4300,60.185,55.215
11:00:04.400,4400,60.181,55.311
11:00:04.500,4500,60.254,55.274
11:00:04.600,4600,60.247,55.157
11:00:04.700,4700,60.196,55.267
11:00:04.800,4800,60.216,55.205
11:00:04.900,4900,60.266,55.221
11:00:05.000,5000,60.216,55.289
11:00:05.100,5100,60.237,55.262
11:00:05.200,5200,60.257,55.283
11:00:05.300,5300,60.23,55.25
11:00:05.400,5400,60.266,55.244
11:00:05.500,5500,60.257,55.223
11:00:05.600,5600,60.288,55.202
11:00:05.700,5700,60.251,55.254
11:00:05.800,5800,60.189,55.236
11:00:05.900,5900,60.267,55.207
11:00:06.000,6000,60.226,55.355
11:00:06.100,6100,60.215,55.28
11:00:06.200,6200,60.229,55.222
11:00:06.300,6300,60.237,55.199
11:00:06.400,6400,60.26,55.218
11:00:06.500,6500,60.234,55.256
11:00:06.600,6600,60.198,55.274
11:00:06.700,6700,60.238,55.217
11:00:06.800,6800,60.227,55.232
11:00:06.900,6900,60.227,55.194
11:00:07.000,7000,60.267,55.196
11:00:07.100,7100,60.206,55.256
11:00:07.200,7200,60.268,55.237
11:00:07.300,7300,60.224,55.235
11:00:07.400,7400,60.24,55.253
11:00:07.500,7500,60.222,55.237
11:00:07.600,7600,60.182,55.202
11:00:07.700,7700,60.175,55.116
11:00:07.800,7800,60.212,55.246
11:00:07.900,7900,60.14,55.237
11:00:08.000,8000,60.204,55.159
11:00:08.100,8100,60.195,55.162
11:00:08.200,8200,60.215,55.186
11:00:08.300,8300,60.221,55.18
11:00:08.400,8400,60.122,55.132
11:00:08.500,8500,60.176,55.176
11:00:08.600,8600,60.131,55.152
11:00:08.700,8700,60.156,55.168
11:00:08.800,8800,60.177,55.16
11:00:08.900,8900,60.151,53.408
11:00:09.000,9000,60.164,52.29
11:00:09.100,9100,60.129,51.486
11:00:09.200,9200,60.071,50.826
11:00:09.300,9300,60.119,50.366
11:00:09.400,9400,60.115,49.944
11:00:09.500,9500,60.125,49.479
11:00:09.600,9600,60.109,49.116
11:00:09.700,9700,60.098,48.648
11:00:09.800,9800,60.045,48.306
11:00:09.900,9900,60.037,48.014
11:00:10.000,10000,60.037,47.588
11:00:10.100,10100,60.039,47.239
11:00:10.200,10200,60.073,46.941
11:00:10.300,10300,60.044,46.581
11:00:10.400,10400,60.048,46.272
11:00:10.500,10500,60.045,45.962
11:00:10.600,10600,60.015,45.584
11:00:10.700,10700,60.018,45.326
11:00:10.800,10800,60.037,45.008
11:00:10.900,10900,59.995,44.662
11:00:11.000,11000,59.991,44.402
11:00:11.100,11100,59.971,44.17
11:00:11.200,11200,60.037,43.882
11:00:11.300,11300,58.025,43.646
11:00:11.400,11400,56.871,43.264
11:00:11.500,11500,55.977,43.027
11:00:11.600,11600,55.32,42.816
11:00:11.700,11700,54.753,42.47
11:00:11.800,11800,54.348,42.272
11:00:11.900,11900,53.804,41.992
11:00:12.000,12000,53.463,41.729
11:00:12.100,12100,52.953,41.558
11:00:12.200,12200,52.563,41.312
11:00:12.300,12300,52.212,41.075
11:00:12.400,12400,51.818,40.863
11:00:12.500,12500,51.391,40.666
11:00:12.600,12600,51.071,40.425
11:00:12.700,12700,50.621,40.195
11:00:12.800,12800,50.278,40.013
11:00:12.900,12900,49.95,39.819
11:00:13.000,13000,49.614,39.623
11:00:13.100,13100,49.329,39.422
11:00:13.200,13200,48.927,39.243
11:00:13.300,13300,48.665,39.037
11:00:13.400,13400,48.278,38.883
11:00:13.500,13500,48.0,38.666
11:00:13.600,13600,47.694,38.505
11:00:13.700,13700,47.41,38.361
11:00:13.800,13800,47.124,38.167
11:00:13.900,13900,46.761,38.021
11:00:14.000,14000,46.528,37.793
11:00:14.100,14100,46.249,37.657
11:00:14.200,14200,45.958,37.531
11:00:14.300,14300,45.714,37.446
11:00:14.400,14400,45.485,37.211
11:00:14.500,14500,45.241,37.141
11:00:14.600,14600,44.967,36.873
11:00:14.700,14700,44.663,36.769
11:00:14.800,14800,44.42,36.655
11:00:14.900,14900,44.22,36.505
11:00:15.000,15000,43.996,36.373
11:00:15.100,15100,43.767,36.221
11:00:15.200,15200,43.556,36.131
11:00:15.300,15300,43.296,36.059
11:00:15.400,15400,43.136,35.878
11:00:15.500,15500,42.917,35.793
11:00:15.600,15600,42.706,35.698
11:00:15.700,15700,42.51,35.537
11:00:15.800,15800,42.281,35.402
11:00:15.900,15900,42.119,35.338
11:00:16.000,16000,41.968,35.228
11:00:16.100,16100,41.764,35.093
11:00:16.200,16200,41.617,35.035
11:00:16.300,16300,41.387,34.925
11:00:16.400,16400,41.251,34.84
11:00:16.500,16500,41.121,34.726
11:00:16.600,16600,40.911,34.621
11:00:16.700,16700,40.733,34.5
11:00:16.800,16800,40.596,34.412
11:00:16.900,16900,40.486,34.444
11:00:17.000,17000,40.268,34.25
11:00:17.100,17100,40.094,34.193
11:00:17.200,17200,39.942,34.104
11:00:17.300,17300,39.88,34.075
11:00:17.400,17400,39.69,34.008
11:00:17.500,17500,39.533,33.867
11:00:17.600,17600,39.473,33.806
11:00:17.700,17700,39.286,33.731
11:00:17.800,17800,39.186,33.632
11:00:17.900,17900,39.06,33.609
11:00:18.000,18000,38.96,33.517
11:00:18.100,18100,38.765,33.461
11:00:18.200,18200,38.657,33.454
11:00:18.300,18300,38.607,33.275
11:00:18.400,18400,38.46,33.294
11:00:18.500,18500,38.346,33.169
11:00:18.600,18600,38.268,33.118
11:00:18.700,18700,38.125,33.092
11:00:18.800,18800,38.018,33.043
11:00:18.900,18900,37.933,33.012
11:00:19.000,19000,37.877,32.925
11:00:19.100,19100,37.762,32.824
11:00:19.200,19200,37.635,32.815
11:00:19.300,19300,37.556,32.798
11:00:19.400,19400,37.547,32.766
11:00:19.500,19500,37.384,32.686
11:00:19.600,19600,37.354,32.676
11:00:19.700,19700,37.161,32.604
11:00:19.800,19800,37.109,32.502
11:00:19.900,19900,37.093,32.461
11:00:20.000,20000,36.959,32.424
11:00:20.100,20100,36.915,32.421
11:00:20.200,20200,36.865,32.396
11:00:20.300,20300,36.786,32.337
11:00:20.400,20400,36.759,32.336
11:00:20.500,20500,36.658,32.277
11:00:20.600,20600,36.585,32.218
11:00:20.700,20700,36.478,32.147
11:00:20.800,20800,36.438,32.163
11:00:20.900,20900,36.379,32.133
11:00:21.000,21000,36.261,32.116
11:00:21.100,21100,36.291,32.02
11:00:21.200,21200,36.197,32.051
11:00:21.300,21300,36.163,31.971
11:00:21.400,21400,36.043,31.968
11:00:21.500,21500,36.039,31.919
11:00:21.600,21600,36.004,31.93
11:00:21.700,21700,35.905,31.904
11:00:21.800,21800,35.898,31.835
11:00:21.900,21900,35.775,31.836
11:00:22.000,22000,35.76,31.82
11:00:22.100,22100,35.772,31.829
11:00:22.200,22200,35.647,31.811
11:00:22.300,22300,35.591,31.734
11:00:22.400,22400,35.571,31.708
11:00:22.500,22500,35.578,31.747
11:00:22.600,22600,35.495,31.68
11:00:22.700,22700,35.457,31.643
11:00:22.800,22800,35.35,31.678
11:00:22.900,22900,35.353,31.625
11:00:23.000,23000,35.333,31.567
11:00:23.100,23100,35.328,31.591
11:00:23.200,23200,35.244,31.564
11:00:23.300,23300,35.223,31.617
11:00:23.400,23400,35.176,31.558
11:00:23.500,23500,35.17,31.53
11:00:23.600,23600,35.077,31.571
11:00:23.700,23700,35.119,31.452
11:00:23.800,23800,35.03,31.445
11:00:23.900,23900,34.991,31.485
