Timestamp,Relative Time (ms),Inlet Pressure (Bar),Outlet Pressure (Bar)
11:00:00.000,0,59.902,55.038
11:00:00.100,100,60.08,54.949
11:00:00.200,200,59.894,54.993
11:00:00.300,300,60.038,55.11
11:00:00.400,400,59.903,54.871
11:00:00.500,500,60.056,55.047
11:00:00.600,600,60.123,55.098
11:00:00.700,700,59.992,54.973
11:00:00.800,800,60.206,54.971
11:00:00.900,900,59.937,54.886
11:00:01.000,1000,60.008,55.015
11:00:01.100,1100,59.972,54.994
11:00:01.200,1200,60.022,55.069
11:00:01.300,1300,60.088,55.021
11:00:01.400,1400,59.857,55.07
11:00:01.500,1500,59.886,54.983
11:00:01.600,1600,59.882,55.0
11:00:01.700,1700,59.938,55.021
11:00:01.800,1800,60.264,54.995
11:00:01.900,1900,60.067,54.868
11:00:02.000,2000,59.977,55.066
11:00:02.100,2100,59.993,55.037
11:00:02.200,2200,60.008,54.899
11:00:02.300,2300,60.045,54.919
11:00:02.400,2400,60.15,54.949
11:00:02.500,2500,60.055,55.0
11:00:02.600,2600,60.076,54.94
11:00:02.700,2700,60.08,54.988
11:00:02.800,2800,60.101,55.062
11:00:02.900,2900,60.011,54.922
11:00:03.000,3000,60.061,55.047
11:00:03.100,3100,60.131,54.962
11:00:03.200,3200,60.044,55.051
11:00:03.300,3300,60.023,55.021
11:00:03.400,3400,60.015,54.94
11:00:03.500,3500,59.919,54.96
11:00:03.600,3600,60.047,55.151
11:00:03.700,3700,60.078,55.105
11:00:03.800,3800,60.062,55.07
11:00:03.900,3900,60.015,55.077
11:00:04.000,4000,60.142,54.967
11:00:04.100,4100,59.944,55.196
11:00:04.200,4200,60.02,55.097
11:00:04.300,4300,60.07,54.886
11:00:04.400,4400,60.195,55.178
11:00:04.500,4500,60.014,55.075
11:00:04.600,4600,60.01,54.912
11:00:04.700,4700,59.991,55.037
11:00:04.800,4800,60.089,55.071
11:00:04.900,4900,60.005,55.135
11:00:05.000,5000,59.939,55.079
11:00:05.100,5100,60.089,54.971
11:00:05.200,5200,59.857,54.909
11:00:05.300,5300,60.019,55.053
11:00:05.400,5400,60.124,54.9
11:00:05.500,5500,60.0,55.065
11:00:05.600,5600,59.987,54.763
11:00:05.700,5700,60.065,55.231
11:00:05.800,5800,60.08,54.908
11:00:05.900,5900,59.967,55.022
11:00:06.000,6000,60.199,55.062
11:00:06.100,6100,60.009,55.156
11:00:06.200,6200,59.993,55.186
11:00:06.300,6300,59.945,54.953
11:00:06.400,6400,60.058,55.142
11:00:06.500,6500,60.052,55.03
11:00:06.600,6600,59.854,54.929
11:00:06.700,6700,59.951,54.947
11:00:06.800,6800,60.047,54.966
11:00:06.900,6900,60.063,55.008
11:00:07.000,7000,59.973,55.012
11:00:07.100,7100,60.034,55.086
11:00:07.200,7200,59.962,54.977
11:00:07.300,7300,59.891,55.16
11:00:07.400,7400,60.116,54.982
11:00:07.500,7500,59.962,54.876
11:00:07.600,7600,60.014,55.021
11:00:07.700,7700,60.175,55.025
11:00:07.800,7800,59.938,54.756
11:00:07.900,7900,60.113,51.415
11:00:08.000,8000,59.871,49.381
11:00:08.100,8100,59.871,48.488
11:00:08.200,8200,60.09,47.394
11:00:08.300,8300,59.986,46.537
11:00:08.400,8400,59.99,46.126
11:00:08.500,8500,60.048,45.661
11:00:08.600,8600,59.927,45.626
11:00:08.700,8700,60.132,45.037
11:00:08.800,8800,59.877,44.907
11:00:08.900,8900,60.068,44.396
11:00:09.000,9000,59.944,44.108
11:00:09.100,9100,59.905,43.8
11:00:09.200,9200,60.1,43.634
11:00:09.300,9300,60.165,43.26
11:00:09.400,9400,59.989,42.88
11:00:09.500,9500,59.99,42.562
11:00:09.600,9600,59.858,42.484
11:00:09.700,9700,60.115,42.224
11:00:09.800,9800,60.107,41.898
11:00:09.900,9900,59.943,41.618
11:00:10.000,10000,59.97,41.241
11:00:10.100,10100,59.865,40.951
11:00:10.200,10200,60.0,40.867
11:00:10.300,10300,59.962,40.752
11:00:10.400,10400,60.014,40.43
11:00:10.500,10500,60.097,40.056
11:00:10.600,10600,59.842,39.985
11:00:10.700,10700,59.945,39.817
11:00:10.800,10800,60.027,39.567
11:00:10.900,10900,60.061,39.043
11:00:11.000,11000,60.058,38.973
11:00:11.100,11100,59.94,38.79
11:00:11.200,11200,60.061,38.719
11:00:11.300,11300,60.081,38.266
11:00:11.400,11400,59.953,38.0
11:00:11.500,11500,59.992,38.107
11:00:11.600,11600,59.939,37.884
11:00:11.700,11700,60.019,37.777
11:00:11.800,11800,59.934,37.414
11:00:11.900,11900,59.939,37.496
11:00:12.000,12000,60.087,37.136
11:00:12.100,12100,60.018,36.99
11:00:12.200,12200,60.016,36.792
11:00:12.300,12300,56.042,36.524
11:00:12.400,12400,53.8,36.656
11:00:12.500,12500,52.559,36.341
11:00:12.600,12600,51.622,36.188
11:00:12.700,12700,51.03,35.967
11:00:12.800,12800,50.505,35.908
11:00:12.900,12900,49.986,35.661
11:00:13.000,13000,49.561,35.492
11:00:13.100,13100,49.331,35.224
11:00:13.200,13200,48.872,35.263
11:00:13.300,13300,48.49,35.201
11:00:13.400,13400,48.284,35.068
11:00:13.500,13500,47.845,34.871
11:00:13.600,13600,47.515,34.898
11:00:13.700,13700,47.17,34.569
11:00:13.800,13800,46.784,34.453
11:00:13.900,13900,46.463,34.555
11:00:14.000,14000,46.298,34.306
11:00:14.100,14100,46.088,34.151
11:00:14.200,14200,45.739,34.185
11:00:14.300,14300,45.269,33.84
11:00:14.400,14400,45.037,33.98
11:00:14.500,14500,44.939,33.662
11:00:14.600,14600,44.65,33.644
11:00:14.700,14700,44.27,33.526
11:00:14.800,14800,44.016,33.301
11:00:14.900,14900,43.707,33.262
11:00:15.000,15000,43.577,33.5
11:00:15.100,15100,43.512,33.165
11:00:15.200,15200,42.917,33.067
11:00:15.300,15300,42.744,33.216
11:00:15.400,15400,42.635,32.858
11:00:15.500,15500,42.439,32.898
11:00:15.600,15600,42.013,32.708
11:00:15.700,15700,41.907,32.68
11:00:15.800,15800,41.724,32.564
11:00:15.900,15900,41.521,32.46
11:00:16.000,16000,41.23,32.592
11:00:16.100,16100,41.13,32.409
11:00:16.200,16200,40.778,32.274
11:00:16.300,16300,40.779,32.088
11:00:16.400,16400,40.613,32.107
11:00:16.500,16500,40.373,32.062
11:00:16.600,16600,40.177,32.127
11:00:16.700,16700,39.95,32.095
11:00:16.800,16800,39.745,31.78
11:00:16.900,16900,39.694,31.702
11:00:17.000,17000,39.441,31.835
11:00:17.100,17100,39.404,31.505
11:00:17.200,17200,39.187,31.81
11:00:17.300,17300,39.084,31.537
11:00:17.400,17400,38.787,31.473
11:00:17.500,17500,38.591,31.419
11:00:17.600,17600,38.52,31.374
11:00:17.700,17700,38.485,31.311
11:00:17.800,17800,38.131,31.385
11:00:17.900,17900,38.022,31.182
11:00:18.000,18000,37.961,31.14
11:00:18.100,18100,37.757,31.099
11:00:18.200,18200,37.881,31.013
