Timestamp,Relative Time (ms),Inlet Pressure (Bar),Outlet Pressure (Bar)
11:00:00.000,0,72.108,64.445
11:00:00.100,100,72.016,64.487
11:00:00.200,200,71.956,64.471
11:00:00.300,300,71.974,64.495
11:00:00.400,400,72.019,64.551
11:00:00.500,500,72.01,64.554
11:00:00.600,600,72.021,64.503
11:00:00.700,700,71.987,64.449
11:00:00.800,800,71.919,64.494
11:00:00.900,900,71.989,64.513
11:00:01.000,1000,72.014,64.435
11:00:01.100,1100,71.962,64.442
11:00:01.200,1200,72.047,64.491
11:00:01.300,1300,72.003,64.452
11:00:01.400,1400,71.934,64.468
11:00:01.500,1500,71.992,64.519
11:00:01.600,1600,71.922,64.513
11:00:01.700,1700,71.954,64.471
11:00:01.800,1800,71.98,64.475
11:00:01.900,1900,72.019,64.54
11:00:02.000,2000,72.013,64.47
11:00:02.100,2100,72.017,64.515
11:00:02.200,2200,72.039,64.51
11:00:02.300,2300,71.917,64.459
11:00:02.400,2400,71.977,64.542
11:00:02.500,2500,71.99,64.541
11:00:02.600,2600,72.011,64.438
11:00:02.700,2700,71.999,64.524
11:00:02.800,2800,72.017,64.423
11:00:02.900,2900,72.017,64.468
11:00:03.000,3000,71.893,64.468
11:00:03.100,3100,71.899,64.434
11:00:03.200,3200,72.067,64.618
11:00:03.300,3300,72.049,64.518
11:00:03.400,3400,72.09,64.513
11:00:03.500,3500,71.948,64.375
11:00:03.600,3600,72.041,64.385
11:00:03.700,3700,71.855,64.464
11:00:03.800,3800,72.0,64.454
11:00:03.900,3900,72.048,64.492
11:00:04.000,4000,72.007,64.519
11:00:04.100,4100,71.968,64.507
11:00:04.200,4200,72.112,64.45
11:00:04.300,4300,72.005,64.523
11:00:04.400,4400,71.97,64.494
11:00:04.500,4500,71.912,64.475
11:00:04.600,4600,71.999,64.552
11:00:04.700,4700,72.044,64.468
11:00:04.800,4800,71.942,64.588
11:00:04.900,4900,72.041,64.402
11:00:05.000,5000,71.98,64.452
11:00:05.100,5100,71.967,64.412
11:00:05.200,5200,71.976,64.472
11:00:05.300,5300,71.986,64.549
11:00:05.400,5400,72.009,64.437
11:00:05.500,5500,71.911,64.471
11:00:05.600,5600,72.055,64.544
11:00:05.700,5700,71.968,64.556
11:00:05.800,5800,72.019,64.468
11:00:05.900,5900,72.019,64.494
11:00:06.000,6000,71.942,64.476
11:00:06.100,6100,72.006,64.564
11:00:06.200,6200,71.946,64.51
11:00:06.300,6300,71.999,64.496
11:00:06.400,6400,71.937,64.561
11:00:06.500,6500,72.063,64.578
11:00:06.600,6600,72.022,64.572
11:00:06.700,6700,72.025,64.548
11:00:06.800,6800,71.982,64.51
11:00:06.900,6900,71.982,64.446
11:00:07.000,7000,71.977,64.442
11:00:07.100,7100,71.943,64.479
11:00:07.200,7200,71.968,64.602
11:00:07.300,7300,72.088,64.553
11:00:07.400,7400,72.038,64.456
11:00:07.500,7500,72.013,64.426
11:00:07.600,7600,71.967,64.475
11:00:07.700,7700,71.98,64.542
11:00:07.800,7800,71.959,64.62
11:00:07.900,7900,71.973,64.542
11:00:08.000,8000,71.919,64.545
11:00:08.100,8100,68.607,61.526
11:00:08.200,8200,66.712,59.805
11:00:08.300,8300,65.498,58.667
11:00:08.400,8400,64.584,57.961
11:00:08.500,8500,63.886,57.253
11:00:08.600,8600,63.308,56.742
11:00:08.700,8700,62.764,56.249
11:00:08.800,8800,62.353,55.806
11:00:08.900,8900,61.888,55.391
11:00:09.000,9000,61.489,55.013
11:00:09.100,9100,61.07,54.655
11:00:09.200,9200,60.55,54.296
11:00:09.300,9300,60.199,53.953
11:00:09.400,9400,59.804,53.556
11:00:09.500,9500,59.276,53.201
11:00:09.600,9600,58.939,52.824
11:00:09.700,9700,58.624,52.424
11:00:09.800,9800,58.252,52.245
11:00:09.900,9900,57.845,51.779
11:00:10.000,10000,57.526,51.48
11:00:10.100,10100,57.156,51.218
11:00:10.200,10200,56.68,50.86
11:00:10.300,10300,56.34,50.504
11:00:10.400,10400,56.114,50.181
11:00:10.500,10500,55.721,49.926
11:00:10.600,10600,55.453,49.68
11:00:10.700,10700,55.146,49.356
11:00:10.800,10800,54.778,49.126
11:00:10.900,10900,54.471,48.795
11:00:11.000,11000,54.254,48.531
11:00:11.100,11100,53.884,48.368
11:00:11.200,11200,53.643,47.945
11:00:11.300,11300,53.329,47.906
11:00:11.400,11400,53.237,47.549
11:00:11.500,11500,52.863,47.361
11:00:11.600,11600,52.581,46.998
11:00:11.700,11700,52.359,46.874
11:00:11.800,11800,52.045,46.553
11:00:11.900,11900,51.778,46.407
11:00:12.000,12000,51.556,46.208
11:00:12.100,12100,51.312,46.034
11:00:12.200,12200,51.13,45.718
11:00:12.300,12300,50.841,45.593
11:00:12.400,12400,50.62,45.442
11:00:12.500,12500,50.402,45.188
11:00:12.600,12600,50.245,44.927
11:00:12.700,12700,50.067,44.785
11:00:12.800,12800,49.762,44.576
11:00:12.900,12900,49.511,44.361
11:00:13.000,13000,49.473,44.246
11:00:13.100,13100,49.19,44.088
11:00:13.200,13200,49.043,43.868
11:00:13.300,13300,48.817,43.755
11:00:13.400,13400,48.695,43.59
11:00:13.500,13500,48.549,43.406
11:00:13.600,13600,48.273,43.19
11:00:13.700,13700,48.116,43.138
11:00:13.800,13800,47.937,42.945
11:00:13.900,13900,47.735,42.777
11:00:14.000,14000,47.599,42.656
11:00:14.100,14100,47.517,42.544
11:00:14.200,14200,47.353,42.438
11:00:14.300,14300,47.131,42.309
11:00:14.400,14400,47.007,42.042
11:00:14.500,14500,46.828,41.972
11:00:14.600,14600,46.637,41.963
11:00:14.700,14700,46.571,41.765
11:00:14.800,14800,46.375,41.603
11:00:14.900,14900,46.313,41.438
11:00:15.000,15000,46.18,41.358
11:00:15.100,15100,46.056,41.181
11:00:15.200,15200,45.935,41.113
11:00:15.300,15300,45.742,40.905
11:00:15.400,15400,45.652,40.886
11:00:15.500,15500,45.66,40.737
11:00:15.600,15600,45.498,40.755
11:00:15.700,15700,45.329,40.601
11:00:15.800,15800,45.22,40.413
11:00:15.900,15900,45.155,40.372
11:00:16.000,16000,44.939,40.29
11:00:16.100,16100,44.732,40.129
11:00:16.200,16200,44.706,40.023
11:00:16.300,16300,44.692,40.09
11:00:16.400,16400,44.563,39.904
11:00:16.500,16500,44.48,39.807
11:00:16.600,16600,44.374,39.766
11:00:16.700,16700,44.261,39.64
11:00:16.800,16800,44.184,39.581
11:00:16.900,16900,44.123,39.421
11:00:17.000,17000,43.945,39.392
11:00:17.100,17100,43.937,39.274
11:00:17.200,17200,43.888,39.334
11:00:17.300,17300,43.707,39.243
11:00:17.400,17400,43.557,39.108
11:00:17.500,17500,43.5,39.095
11:00:17.600,17600,43.544,38.996
11:00:17.700,17700,43.395,38.844
11:00:17.800,17800,43.369,38.807
11:00:17.900,17900,43.308,38.686
11:00:18.000,18000,43.222,38.726
11:00:18.100,18100,43.016,38.573
11:00:18.200,18200,43.024,38.544
11:00:18.300,18300,42.904,38.513
11:00:18.400,18400,42.867,38.448
11:00:18.500,18500,42.766,38.333
11:00:18.600,18600,42.827,38.249
11:00:18.700,18700,42.727,38.35
11:00:18.800,18800,42.708,38.156
11:00:18.900,18900,42.717,38.14
11:00:19.000,19000,42.593,38.162
11:00:19.100,19100,42.472,38.093
11:00:19.200,19200,42.293,38.015
11:00:19.300,19300,42.383,37.943
11:00:19.400,19400,42.326,37.964
11:00:19.500,19500,42.313,37.831
11:00:19.600,19600,42.252,37.874
11:00:19.700,19700,42.166,37.788
11:00:19.800,19800,41.987,37.644
11:00:19.900,19900,42.079,37.603
11:00:20.000,20000,42.054,37.693
11:00:20.100,20100,41.914,37.533
11:00:20.200,20200,41.906,37.561
11:00:20.300,20300,41.911,37.497
11:00:20.400,20400,41.827,37.418
11:00:20.500,20500,41.795,37.389
11:00:20.600,20600,41.788,37.424
11:00:20.700,20700,41.613,37.368
11:00:20.800,20800,41.598,37.362
11:00:20.900,20900,41.561,37.34
11:00:21.000,21000,41.626,37.339
11:00:21.100,21100,41.55,37.209
11:00:21.200,21200,41.556,37.111
11:00:21.300,21300,41.455,37.122
11:00:21.400,21400,41.417,37.026
11:00:21.500,21500,41.3,36.987
11:00:21.600,21600,41.422,37.024
11:00:21.700,21700,41.345,37.003
11:00:21.800,21800,41.268,37.044
11:00:21.900,21900,41.13,36.938
11:00:22.000,22000,41.174,36.874
11:00:22.100,22100,41.101,36.814
11:00:22.200,22200,41.09,36.917
11:00:22.300,22300,41.085,36.812
11:00:22.400,22400,41.08,36.839
11:00:22.500,22500,41.111,36.791
11:00:22.600,22600,41.03,36.782
11:00:22.700,22700,40.962,36.741
11:00:22.800,22800,41.058,36.673
11:00:22.900,22900,40.904,36.604
11:00:23.000,23000,40.922,36.688
11:00:23.100,23100,40.872,36.617
11:00:23.200,23200,40.927,36.612
11:00:23.300,23300,40.877,36.569
11:00:23.400,23400,40.883,36.611
11:00:23.500,23500,40.787,36.514
11:00:23.600,23600,40.897,36.469
11:00:23.700,23700,40.699,36.378
11:00:23.800,23800,40.758,36.485
11:00:23.900,23900,40.698,36.385
11:00:24.000,24000,40.681,36.403
11:00:24.100,24100,40.6,36.411
11:00:24.200,24200,40.653,36.396
11:00:24.300,24300,40.592,36.422
11:00:24.400,24400,40.609,36.349
11:00:24.500,24500,40.605,36.365
11:00:24.600,24600,40.603,36.373
11:00:24.700,24700,40.575,36.286
11:00:24.800,24800,40.585,36.348
11:00:24.900,24900,40.475,36.344
11:00:25.000,25000,40.488,36.216
11:00:25.100,25100,40.464,36.187
11:00:25.200,25200,40.505,36.172
11:00:25.300,25300,40.505,36.177
11:00:25.400,25400,40.409,36.268
11:00:25.500,25500,40.417,36.109
11:00:25.600,25600,40.377,36.086
11:00:25.700,25700,40.401,36.112
11:00:25.800,25800,40.348,36.142
11:00:25.900,25900,40.263,36.152
11:00:26.000,26000,40.411,36.077
11:00:26.100,26100,40.28,36.128
11:00:26.200,26200,40.354,36.053
11:00:26.300,26300,40.29,36.102
11:00:26.400,26400,40.319,36.031
11:00:26.500,26500,40.376,36.161
11:00:26.600,26600,40.174,36.009
11:00:26.700,26700,40.246,36.006
11:00:26.800,26800,40.19,36.026
11:00:26.900,26900,40.167,35.985
11:00:27.000,27000,40.202,35.985
11:00:27.100,27100,40.198,36.046
11:00:27.200,27200,40.224,35.988
11:00:27.300,27300,40.259,35.954
11:00:27.400,27400,40.19,36.053
11:00:27.500,27500,40.145,35.995
11:00:27.600,27600,40.101,35.917
11:00:27.700,27700,40.124,35.959
11:00:27.800,27800,40.122,35.959
11:00:27.900,27900,40.11,35.913
11:00:28.000,28000,40.054,35.903
11:00:28.100,28100,40.078,35.9
11:00:28.200,28200,40.012,35.954
11:00:28.300,28300,40.11,35.895
11:00:28.400,28400,40.024,35.93
11:00:28.500,28500,40.027,35.856
11:00:28.600,28600,40.059,35.833
11:00:28.700,28700,40.028,35.829
11:00:28.800,28800,40.043,35.866
11:00:28.900,28900,40.04,35.859
11:00:29.000,29000,40.013,35.849
11:00:29.100,29100,40.028,35.777
11:00:29.200,29200,39.924,35.82
11:00:29.300,29300,39.982,35.798
11:00:29.400,29400,40.04,35.826
11:00:29.500,29500,40.021,35.801
11:00:29.600,29600,39.885,35.724
11:00:29.700,29700,39.998,35.786
11:00:29.800,29800,39.915,35.841
11:00:29.900,29900,40.016,35.791
11:00:30.000,30000,39.988,35.751
11:00:30.100,30100,39.873,35.68
11:00:30.200,30200,39.966,35.68
11:00:30.300,30300,39.887,35.753
11:00:30.400,30400,39.928,35.653
11:00:30.500,30500,39.883,35.699
11:00:30.600,30600,39.959,35.724
11:00:30.700,30700,39.851,35.811
11:00:30.800,30800,39.885,35.761
11:00:30.900,30900,39.887,35.71
11:00:31.000,31000,39.902,35.678
11:00:31.100,31100,39.794,35.677
11:00:31.200,31200,39.886,35.685
11:00:31.300,31300,39.902,35.734
11:00:31.400,31400,39.856,35.748
11:00:31.500,31500,39.859,35.706
11:00:31.600,31600,39.823,35.681
11:00:31.700,31700,39.828,35.733
11:00:31.800,31800,39.903,35.73
11:00:31.900,31900,39.834,35.668
11:00:32.000,32000,39.83,35.642
11:00:32.100,32100,39.813,35.65
11:00:32.200,32200,39.807,35.548
11:00:32.300,32300,39.805,35.69
11:00:32.400,32400,39.749,35.74
11:00:32.500,32500,39.804,35.624
11:00:32.600,32600,39.861,35.602
11:00:32.700,32700,39.92,35.61
11:00:32.800,32800,39.831,35.71
11:00:32.900,32900,39.815,35.644
11:00:33.000,33000,39.744,35.628
11:00:33.100,33100,39.785,35.679
11:00:33.200,33200,39.664,35.658
11:00:33.300,33300,39.713,35.595
11:00:33.400,33400,39.759,35.592
11:00:33.500,33500,39.79,35.54
11:00:33.600,33600,39.781,35.567
11:00:33.700,33700,39.737,35.61
11:00:33.800,33800,39.684,35.631
11:00:33.900,33900,39.851,35.576
11:00:34.000,34000,39.702,35.678
11:00:34.100,34100,39.823,35.504
11:00:34.200,34200,39.722,35.561
11:00:34.300,34300,39.745,35.593
11:00:34.400,34400,39.685,35.574
11:00:34.500,34500,39.785,35.547
11:00:34.600,34600,39.74,35.62
11:00:34.700,34700,39.809,35.608
11:00:34.800,34800,39.735,35.54
11:00:34.900,34900,39.733,35.648
11:00:35.000,35000,39.741,35.64
11:00:35.100,35100,39.694,35.617
11:00:35.200,35200,39.702,35.543
11:00:35.300,35300,39.682,35.633
11:00:35.400,35400,39.738,35.564
11:00:35.500,35500,39.695,35.61
