Timestamp,Relative Time (ms),Inlet Pressure (Bar),Outlet Pressure (Bar)
11:00:00.000,0,60.058,55.006
11:00:00.100,100,59.866,55.151
11:00:00.200,200,60.055,55.074
11:00:00.300,300,60.049,55.277
11:00:00.400,400,60.154,55.232
11:00:00.500,500,60.01,54.975
11:00:00.600,600,59.925,55.016
11:00:00.700,700,59.718,55.324
11:00:00.800,800,60.09,55.087
11:00:00.900,900,60.192,55.022
11:00:01.000,1000,60.121,55.214
11:00:01.100,1100,59.898,55.376
11:00:01.200,1200,60.125,55.206
11:00:01.300,1300,59.982,55.016
11:00:01.400,1400,60.34,55.039
11:00:01.500,1500,60.079,55.209
11:00:01.600,1600,60.323,54.751
11:00:01.700,1700,60.337,55.191
11:00:01.800,1800,60.271,54.993
11:00:01.900,1900,60.203,55.423
11:00:02.000,2000,60.159,55.071
11:00:02.100,2100,60.123,55.095
11:00:02.200,2200,60.289,55.219
11:00:02.300,2300,60.13,55.321
11:00:02.400,2400,60.061,54.971
11:00:02.500,2500,60.525,55.107
11:00:02.600,2600,60.425,55.202
11:00:02.700,2700,60.194,55.307
11:00:02.800,2800,60.119,55.094
11:00:02.900,2900,60.209,55.174
11:00:03.000,3000,60.335,55.556
11:00:03.100,3100,60.097,55.108
11:00:03.200,3200,60.352,55.338
11:00:03.300,3300,60.405,55.142
11:00:03.400,3400,60.343,55.259
11:00:03.500,3500,60.063,55.345
11:00:03.600,3600,60.076,55.365
11:00:03.700,3700,60.225,55.252
11:00:03.800,3800,60.564,55.535
11:00:03.900,3900,60.348,55.358
11:00:04.000,4000,60.199,55.499
11:00:04.100,4100,60.383,55.165
11:00:04.200,4200,60.093,55.308
11:00:04.300,4300,60.289,55.451
11:00:04.400,4400,60.183,55.174
11:00:04.500,4500,60.374,55.334
11:00:04.600,4600,60.445,55.504
11:00:04.700,4700,60.21,54.946
11:00:04.800,4800,60.337,55.213
11:00:04.900,4900,60.364,54.897
11:00:05.000,5000,60.322,55.351
11:00:05.100,5100,60.266,55.422
11:00:05.200,5200,60.354,55.379
11:00:05.300,5300,60.51,55.552
11:00:05.400,5400,60.5,55.406
11:00:05.500,5500,60.365,55.438
11:00:05.600,5600,60.389,55.231
11:00:05.700,5700,60.4,55.498
11:00:05.800,5800,60.298,55.176
11:00:05.900,5900,60.426,55.231
11:00:06.000,6000,60.161,55.313
11:00:06.100,6100,60.165,55.407
11:00:06.200,6200,60.287,55.367
11:00:06.300,6300,60.5,55.534
11:00:06.400,6400,60.34,54.991
11:00:06.500,6500,60.291,55.166
11:00:06.600,6600,60.467,55.603
11:00:06.700,6700,60.44,55.455
11:00:06.800,6800,60.421,55.46
11:00:06.900,6900,60.301,55.493
11:00:07.000,7000,60.308,55.162
11:00:07.100,7100,60.352,55.602
11:00:07.200,7200,60.319,55.06
11:00:07.300,7300,60.5,55.381
11:00:07.400,7400,60.409,55.265
11:00:07.500,7500,60.398,55.596
11:00:07.600,7600,60.25,55.445
11:00:07.700,7700,60.376,55.192
11:00:07.800,7800,60.35,55.423
11:00:07.900,7900,60.215,55.512
11:00:08.000,8000,60.177,55.506
11:00:08.100,8100,60.396,55.359
11:00:08.200,8200,60.212,55.188
11:00:08.300,8300,60.024,55.305
11:00:08.400,8400,60.287,55.394
11:00:08.500,8500,60.43,55.332
11:00:08.600,8600,60.251,55.453
11:00:08.700,8700,60.288,55.286
11:00:08.800,8800,60.134,55.454
11:00:08.900,8900,60.193,55.59
11:00:09.000,9000,60.163,55.197
11:00:09.100,9100,60.279,55.156
11:00:09.200,9200,60.075,55.08
11:00:09.300,9300,60.15,55.219
11:00:09.400,9400,60.375,55.357
11:00:09.500,9500,60.284,55.374
11:00:09.600,9600,59.958,55.139
11:00:09.700,9700,60.159,55.066
11:00:09.800,9800,60.285,55.12
11:00:09.900,9900,60.075,55.359
11:00:10.000,10000,60.126,55.17
11:00:10.100,10100,60.009,55.347
11:00:10.200,10200,60.2,55.426
11:00:10.300,10300,60.469,55.295
11:00:10.400,10400,60.134,55.055
11:00:10.500,10500,60.382,55.14
11:00:10.600,10600,60.245,55.204
11:00:10.700,10700,59.727,55.181
11:00:10.800,10800,60.169,55.181
11:00:10.900,10900,60.123,55.179
11:00:11.000,11000,60.003,55.23
11:00:11.100,11100,60.059,55.151
11:00:11.200,11200,60.326,55.152
11:00:11.300,11300,59.976,55.167
11:00:11.400,11400,59.915,55.127
11:00:11.500,11500,60.27,54.923
11:00:11.600,11600,60.063,54.943
11:00:11.700,11700,60.095,55.127
11:00:11.800,11800,60.087,55.022
11:00:11.900,11900,59.814,54.914
11:00:12.000,12000,59.992,55.178
11:00:12.100,12100,59.784,55.213
11:00:12.200,12200,59.934,54.764
11:00:12.300,12300,60.206,55.076
11:00:12.400,12400,59.893,55.055
11:00:12.500,12500,60.08,54.777
11:00:12.600,12600,60.157,54.86
11:00:12.700,12700,60.09,54.897
11:00:12.800,12800,59.776,54.883
11:00:12.900,12900,59.902,54.988
11:00:13.000,13000,59.747,54.801
11:00:13.100,13100,59.99,54.891
11:00:13.200,13200,59.875,55.012
11:00:13.300,13300,59.766,55.25
11:00:13.400,13400,59.83,54.983
11:00:13.500,13500,59.895,55.073
11:00:13.600,13600,59.851,54.784
11:00:13.700,13700,59.93,54.995
11:00:13.800,13800,59.871,55.213
11:00:13.900,13900,59.977,55.099
11:00:14.000,14000,60.035,54.137
11:00:14.100,14100,59.842,55.123
11:00:14.200,14200,59.811,54.88
11:00:14.300,14300,60.025,54.998
11:00:14.400,14400,59.705,54.794
11:00:14.500,14500,59.721,55.016
11:00:14.600,14600,59.781,54.83
11:00:14.700,14700,59.732,54.739
11:00:14.800,14800,59.895,54.653
11:00:14.900,14900,59.811,54.726
11:00:15.000,15000,59.75,54.596
11:00:15.100,15100,59.935,54.536
11:00:15.200,15200,59.628,54.716
11:00:15.300,15300,59.784,54.657
11:00:15.400,15400,59.564,54.693
11:00:15.500,15500,59.636,54.655
11:00:15.600,15600,59.955,54.433
11:00:15.700,15700,59.745,54.807
11:00:15.800,15800,59.69,54.686
11:00:15.900,15900,59.87,54.704
11:00:16.000,16000,59.514,54.671
11:00:16.100,16100,59.77,54.664
11:00:16.200,16200,59.647,54.747
11:00:16.300,16300,59.652,54.734
11:00:16.400,16400,59.79,54.611
11:00:16.500,16500,59.508,54.91
11:00:16.600,16600,59.748,54.578
11:00:16.700,16700,59.518,54.695
11:00:16.800,16800,59.716,54.766
11:00:16.900,16900,59.732,54.618
11:00:17.000,17000,59.632,54.446
11:00:17.100,17100,59.587,54.604
11:00:17.200,17200,59.808,54.471
11:00:17.300,17300,59.904,54.811
11:00:17.400,17400,59.605,54.576
11:00:17.500,17500,59.694,54.727
11:00:17.600,17600,59.752,54.395
11:00:17.700,17700,59.619,54.739
11:00:17.800,17800,59.771,54.729
11:00:17.900,17900,59.646,54.705
11:00:18.000,18000,59.59,54.922
11:00:18.100,18100,59.767,54.715
11:00:18.200,18200,59.582,54.645
11:00:18.300,18300,59.698,54.666
11:00:18.400,18400,59.852,54.97
11:00:18.500,18500,59.772,54.472
11:00:18.600,18600,59.736,54.572
11:00:18.700,18700,59.651,54.953
11:00:18.800,18800,59.436,54.439
11:00:18.900,18900,59.572,54.77
11:00:19.000,19000,59.601,54.347
11:00:19.100,19100,59.699,54.752
11:00:19.200,19200,59.805,54.669
11:00:19.300,19300,59.791,54.564
11:00:19.400,19400,59.764,54.84
11:00:19.500,19500,59.623,54.599
11:00:19.600,19600,59.809,54.545
11:00:19.700,19700,59.55,54.668
11:00:19.800,19800,59.734,54.805
11:00:19.900,19900,59.606,54.746
11:00:20.000,20000,59.56,54.491
11:00:20.100,20100,59.973,54.558
11:00:20.200,20200,59.487,54.724
11:00:20.300,20300,59.586,54.789
11:00:20.400,20400,59.371,54.507
11:00:20.500,20500,59.812,54.727
11:00:20.600,20600,59.575,54.919
11:00:20.700,20700,59.82,54.639
11:00:20.800,20800,59.837,54.792
11:00:20.900,20900,59.545,54.581
11:00:21.000,21000,59.727,54.539
11:00:21.100,21100,59.514,54.631
11:00:21.200,21200,59.802,54.733
11:00:21.300,21300,59.593,54.337
11:00:21.400,21400,59.816,54.682
11:00:21.500,21500,59.826,54.709
11:00:21.600,21600,59.669,54.762
11:00:21.700,21700,59.646,54.652
11:00:21.800,21800,59.628,54.402
11:00:21.900,21900,59.876,54.912
11:00:22.000,22000,59.683,54.689
11:00:22.100,22100,60.044,54.845
11:00:22.200,22200,59.717,54.576
11:00:22.300,22300,59.986,54.973
11:00:22.400,22400,59.679,54.887
11:00:22.500,22500,59.672,54.738
11:00:22.600,22600,59.93,54.753
11:00:22.700,22700,59.718,54.577
11:00:22.800,22800,59.883,54.779
11:00:22.900,22900,59.667,55.134
11:00:23.000,23000,59.74,54.742
11:00:23.100,23100,59.883,54.788
11:00:23.200,23200,59.846,54.904
11:00:23.300,23300,59.789,54.703
11:00:23.400,23400,59.82,55.015
11:00:23.500,23500,59.867,55.107
11:00:23.600,23600,59.887,54.733
11:00:23.700,23700,59.912,54.854
11:00:23.800,23800,59.833,54.861
11:00:23.900,23900,60.018,55.033
11:00:24.000,24000,59.953,54.944
11:00:24.100,24100,59.999,55.03
11:00:24.200,24200,59.978,54.822
11:00:24.300,24300,60.086,55.117
11:00:24.400,24400,60.111,54.491
11:00:24.500,24500,60.025,54.984
11:00:24.600,24600,59.627,55.152
11:00:24.700,24700,59.733,54.897
11:00:24.800,24800,60.004,55.149
11:00:24.900,24900,59.958,54.892
11:00:25.000,25000,59.778,54.961
11:00:25.100,25100,60.083,54.797
11:00:25.200,25200,60.207,54.579
11:00:25.300,25300,59.955,54.957
11:00:25.400,25400,60.042,55.086
11:00:25.500,25500,60.18,54.949
11:00:25.600,25600,59.858,54.869
11:00:25.700,25700,60.018,54.922
11:00:25.800,25800,60.027,55.038
11:00:25.900,25900,60.076,55.216
11:00:26.000,26000,60.136,54.875
11:00:26.100,26100,60.0,55.004
11:00:26.200,26200,60.033,55.223
11:00:26.300,26300,60.22,55.156
11:00:26.400,26400,60.306,54.972
11:00:26.500,26500,60.13,55.305
11:00:26.600,26600,60.134,55.037
11:00:26.700,26700,60.046,55.302
11:00:26.800,26800,60.253,55.457
11:00:26.900,26900,60.407,55.198
11:00:27.000,27000,60.11,55.037
11:00:27.100,27100,60.119,55.47
11:00:27.200,27200,60.164,55.084
11:00:27.300,27300,60.169,55.252
11:00:27.400,27400,60.112,55.085
11:00:27.500,27500,60.128,55.419
11:00:27.600,27600,60.211,55.296
11:00:27.700,27700,60.291,54.92
11:00:27.800,27800,60.281,55.047
11:00:27.900,27900,60.184,54.94
11:00:28.000,28000,60.338,55.27
11:00:28.100,28100,60.126,55.438
11:00:28.200,28200,60.147,55.471
11:00:28.300,28300,60.245,55.621
11:00:28.400,28400,60.117,55.343
11:00:28.500,28500,60.116,55.069
11:00:28.600,28600,60.199,55.235
11:00:28.700,28700,60.137,55.351
11:00:28.800,28800,60.488,55.41
11:00:28.900,28900,60.195,55.607
11:00:29.000,29000,60.091,55.561
11:00:29.100,29100,60.279,55.153
11:00:29.200,29200,60.304,55.301
11:00:29.300,29300,60.446,55.41
11:00:29.400,29400,60.269,55.456
11:00:29.500,29500,60.279,55.154
11:00:29.600,29600,60.17,55.16
11:00:29.700,29700,60.353,55.263
11:00:29.800,29800,60.421,55.109
11:00:29.900,29900,60.337,55.392
11:00:30.000,30000,60.351,55.394
11:00:30.100,30100,59.981,55.126
11:00:30.200,30200,60.242,55.349
11:00:30.300,30300,60.495,55.693
11:00:30.400,30400,60.257,55.31
11:00:30.500,30500,60.45,55.261
11:00:30.600,30600,60.488,55.328
11:00:30.700,30700,60.345,55.443
11:00:30.800,30800,60.567,55.376
11:00:30.900,30900,60.258,55.563
11:00:31.000,31000,60.416,55.222
11:00:31.100,31100,60.158,55.334
11:00:31.200,31200,60.279,55.239
11:00:31.300,31300,60.381,55.466
11:00:31.400,31400,60.519,55.378
11:00:31.500,31500,60.218,55.149
11:00:31.600,31600,60.168,55.439
11:00:31.700,31700,60.129,55.241
11:00:31.800,31800,60.176,55.277
11:00:31.900,31900,60.28,55.286
11:00:32.000,32000,60.54,55.473
11:00:32.100,32100,60.291,55.174
11:00:32.200,32200,60.405,55.291
11:00:32.300,32300,60.322,55.161
11:00:32.400,32400,60.385,55.384
11:00:32.500,32500,60.41,55.349
11:00:32.600,32600,60.353,55.161
11:00:32.700,32700,60.461,55.378
11:00:32.800,32800,60.532,55.279
11:00:32.900,32900,60.277,55.484
11:00:33.000,33000,59.158,55.397
11:00:33.100,33100,60.299,55.286
11:00:33.200,33200,60.038,55.366
11:00:33.300,33300,60.312,55.086
11:00:33.400,33400,60.446,54.978
11:00:33.500,33500,60.258,55.655
11:00:33.600,33600,60.401,55.182
11:00:33.700,33700,60.383,55.425
11:00:33.800,33800,59.88,55.291
11:00:33.900,33900,60.28,55.514
11:00:34.000,34000,60.279,55.067
11:00:34.100,34100,60.208,55.583
11:00:34.200,34200,60.25,55.554
11:00:34.300,34300,60.365,55.133
11:00:34.400,34400,60.337,55.284
11:00:34.500,34500,60.31,55.279
11:00:34.600,34600,60.136,55.387
11:00:34.700,34700,60.239,55.183
11:00:34.800,34800,60.218,55.147
11:00:34.900,34900,60.209,55.191
11:00:35.000,35000,60.035,55.475
11:00:35.100,35100,60.226,55.163
11:00:35.200,35200,59.988,55.406
11:00:35.300,35300,60.243,55.333
11:00:35.400,35400,60.169,55.302
11:00:35.500,35500,60.103,55.174
11:00:35.600,35600,60.346,55.497
11:00:35.700,35700,60.166,54.951
11:00:35.800,35800,60.187,55.205
