Timestamp,Relative Time (ms),Inlet Pressure (Bar),Outlet Pressure (Bar)
11:00:00.000,0,91.968,81.034
11:00:00.100,100,92.067,81.134
11:00:00.200,200,91.919,80.95
11:00:00.300,300,91.944,80.977
11:00:00.400,400,91.991,80.909
11:00:00.500,500,92.017,80.899
11:00:00.600,600,92.034,80.936
11:00:00.700,700,92.019,81.033
11:00:00.800,800,91.994,80.958
11:00:00.900,900,91.953,80.919
11:00:01.000,1000,92.098,81.045
11:00:01.100,1100,92.118,81.029
11:00:01.200,1200,92.023,80.959
11:00:01.300,1300,91.986,80.888
11:00:01.400,1400,92.063,81.074
11:00:01.500,1500,92.095,81.109
11:00:01.600,1600,91.937,80.818
11:00:01.700,1700,92.05,81.02
11:00:01.800,1800,91.94,80.934
11:00:01.900,1900,92.052,81.133
11:00:02.000,2000,92.029,80.951
11:00:02.100,2100,92.054,81.082
11:00:02.200,2200,91.926,81.057
11:00:02.300,2300,91.94,81.003
11:00:02.400,2400,92.032,81.005
11:00:02.500,2500,91.906,81.029
11:00:02.600,2600,91.912,81.052
11:00:02.700,2700,91.88,80.964
11:00:02.800,2800,91.97,80.949
11:00:02.900,2900,92.014,81.02
11:00:03.000,3000,92.116,81.034
11:00:03.100,3100,92.071,80.917
11:00:03.200,3200,92.068,81.065
11:00:03.300,3300,92.087,81.106
11:00:03.400,3400,91.944,80.903
11:00:03.500,3500,91.952,80.954
11:00:03.600,3600,92.089,80.854
11:00:03.700,3700,92.003,81.075
11:00:03.800,3800,91.991,80.895
11:00:03.900,3900,91.944,81.041
11:00:04.000,4000,92.047,80.989
11:00:04.100,4100,92.022,81.103
11:00:04.200,4200,91.978,81.147
11:00:04.300,4300,91.937,81.141
11:00:04.400,4400,91.909,81.1
11:00:04.500,4500,92.001,80.886
11:00:04.600,4600,92.008,81.041
11:00:04.700,4700,92.037,81.009
11:00:04.800,4800,91.989,80.978
11:00:04.900,4900,92.006,81.09
11:00:05.000,5000,92.03,81.052
11:00:05.100,5100,92.012,81.104
11:00:05.200,5200,92.153,81.164
11:00:05.300,5300,91.923,80.936
11:00:05.400,5400,91.933,80.973
11:00:05.500,5500,92.125,80.973
11:00:05.600,5600,92.006,80.984
11:00:05.700,5700,91.879,80.911
11:00:05.800,5800,91.954,80.936
11:00:05.900,5900,91.978,80.965
11:00:06.000,6000,91.985,80.879
11:00:06.100,6100,92.064,81.036
11:00:06.200,6200,91.954,80.963
11:00:06.300,6300,91.944,80.856
11:00:06.400,6400,92.043,80.967
11:00:06.500,6500,92.068,81.112
11:00:06.600,6600,91.914,80.915
11:00:06.700,6700,92.033,80.958
11:00:06.800,6800,91.956,80.969
11:00:06.900,6900,92.027,80.897
11:00:07.000,7000,92.005,81.082
11:00:07.100,7100,91.964,80.972
11:00:07.200,7200,92.028,81.072
11:00:07.300,7300,92.063,81.036
11:00:07.400,7400,92.104,80.952
11:00:07.500,7500,92.106,81.044
11:00:07.600,7600,91.98,80.893
11:00:07.700,7700,92.1,81.02
11:00:07.800,7800,92.036,81.119
11:00:07.900,7900,91.975,81.06
11:00:08.000,8000,92.057,81.124
11:00:08.100,8100,92.021,81.14
11:00:08.200,8200,91.966,80.997
11:00:08.300,8300,91.959,80.929
11:00:08.400,8400,92.11,81.022
11:00:08.500,8500,91.998,81.015
11:00:08.600,8600,92.01,80.888
11:00:08.700,8700,91.971,81.03
11:00:08.800,8800,91.921,80.984
11:00:08.900,8900,91.974,80.925
11:00:09.000,9000,91.913,80.954
11:00:09.100,9100,92.014,81.041
11:00:09.200,9200,91.9,81.011
11:00:09.300,9300,92.038,80.87
11:00:09.400,9400,91.912,81.041
11:00:09.500,9500,92.047,81.043
11:00:09.600,9600,92.104,81.054
11:00:09.700,9700,92.089,81.0
11:00:09.800,9800,92.001,80.932
11:00:09.900,9900,92.007,80.972
11:00:10.000,10000,91.962,81.047
11:00:10.100,10100,92.024,80.967
11:00:10.200,10200,92.014,81.025
11:00:10.300,10300,92.029,80.949
11:00:10.400,10400,92.043,80.965
11:00:10.500,10500,92.02,80.961
11:00:10.600,10600,92.132,80.891
11:00:10.700,10700,92.066,80.926
11:00:10.800,10800,92.106,80.906
11:00:10.900,10900,92.047,80.987
11:00:11.000,11000,92.061,80.901
11:00:11.100,11100,91.979,81.035
11:00:11.200,11200,92.055,80.953
11:00:11.300,11300,91.877,80.973
11:00:11.400,11400,91.954,81.005
11:00:11.500,11500,91.971,80.921
11:00:11.600,11600,91.987,81.106
11:00:11.700,11700,92.037,80.97
11:00:11.800,11800,92.039,80.892
11:00:11.900,11900,91.961,80.994
11:00:12.000,12000,91.975,80.951
11:00:12.100,12100,91.999,81.137
11:00:12.200,12200,91.997,81.031
11:00:12.300,12300,92.11,80.812
11:00:12.400,12400,91.979,81.067
11:00:12.500,12500,91.904,80.968
11:00:12.600,12600,92.086,81.008
11:00:12.700,12700,92.014,81.16
11:00:12.800,12800,91.876,81.086
11:00:12.900,12900,91.917,81.031
11:00:13.000,13000,92.039,81.011
11:00:13.100,13100,91.983,81.064
11:00:13.200,13200,92.029,81.065
11:00:13.300,13300,92.066,81.048
11:00:13.400,13400,92.115,80.968
11:00:13.500,13500,91.878,80.863
